Row,Row.Numbers,Genotype,Pedigree,Treatment,date,Canopy_Coverage
1001,1001 and 1002,A641,Ames 19311,Nitrogen,July6,29.74737927
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Aug23,15.53797676
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Sept1,15.18972581
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Aug22,19.03728342
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Aug12,9.793072884
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Aug26,21.37886909
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Sept3,13.53672776
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Aug14,8.330185806
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Aug20,10.17970038
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Aug30,9.94554188
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Sept5,8.183619459
1001,1001 and 1002,A641,Ames 19311,Nitrogen,Aug16,11.57320106
1003,1003 and 1004,B76,PI 550483,Nitrogen,Aug23,75.10951959
1003,1003 and 1004,B76,PI 550483,Nitrogen,Aug20,74.09559161
1003,1003 and 1004,B76,PI 550483,Nitrogen,Aug16,71.85679269
1003,1003 and 1004,B76,PI 550483,Nitrogen,Aug22,75.43453683
1003,1003 and 1004,B76,PI 550483,Nitrogen,Sept1,74.38293439
1003,1003 and 1004,B76,PI 550483,Nitrogen,Aug14,68.74322266
1003,1003 and 1004,B76,PI 550483,Nitrogen,Sept3,61.73542298
1003,1003 and 1004,B76,PI 550483,Nitrogen,July6,47.45145214
1003,1003 and 1004,B76,PI 550483,Nitrogen,Sept5,67.1826634
1003,1003 and 1004,B76,PI 550483,Nitrogen,Aug30,75.11395325
1003,1003 and 1004,B76,PI 550483,Nitrogen,Aug26,72.0673193
1003,1003 and 1004,B76,PI 550483,Nitrogen,Aug12,72.86029342
1005,1005 and 1006,A654,PI 587141,Nitrogen,Aug26,55.76903697
1005,1005 and 1006,A654,PI 587141,Nitrogen,Sept1,48.69693884
1005,1005 and 1006,A654,PI 587141,Nitrogen,Aug20,54.37665631
1005,1005 and 1006,A654,PI 587141,Nitrogen,Aug16,44.14015277
1005,1005 and 1006,A654,PI 587141,Nitrogen,Aug22,53.39257252
1005,1005 and 1006,A654,PI 587141,Nitrogen,Aug14,48.22784039
1005,1005 and 1006,A654,PI 587141,Nitrogen,Aug30,50.83818784
1005,1005 and 1006,A654,PI 587141,Nitrogen,Aug23,52.16747745
1005,1005 and 1006,A654,PI 587141,Nitrogen,July6,43.29648088
1005,1005 and 1006,A654,PI 587141,Nitrogen,Sept5,37.85315431
1005,1005 and 1006,A654,PI 587141,Nitrogen,Aug12,49.73883498
1005,1005 and 1006,A654,PI 587141,Nitrogen,Sept3,41.31356522
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Aug26,74.3776996
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Aug22,69.77542321
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Aug12,70.89091568
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Aug14,69.15707178
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Aug20,73.00936218
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Sept3,51.48035865
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Aug16,64.22666848
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Sept1,71.57079961
1007,1007 and 1008,A239,Ames 23405,Nitrogen,July6,36.71650341
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Sept5,61.08658602
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Aug30,79.089834
1007,1007 and 1008,A239,Ames 23405,Nitrogen,Aug23,71.81781177
